MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
Micrastur-ruficollis,42.0,108.0,0.0,1.0,0.28,0.4375
Micrastur-semitorquatus,42.0,75.0,9.0,0.8235,0.359,0.5
Microbates-cinereiventris,24.0,36.0,0.0,1.0,0.4,0.5714
Microcerculus-bambla,3.0,15.0,0.0,1.0,0.1667,0.2857
Micropygia-schomburgkii,72.0,132.0,0.0,1.0,0.3529,0.5217
Milvago-chimachima,51.0,0.0,3.0,0.9444,1.0,0.9714
Mimus-triurus,6.0,0.0,0.0,1.0,1.0,1.0
Mionectes-oleagineus,75.0,48.0,3.0,0.9615,0.6098,0.7463
Mionectes-striaticollis,30.0,0.0,6.0,0.8333,1.0,0.9091
Molothrus-bonariensis,141.0,24.0,57.0,0.7121,0.8545,0.7769
Momotus-aequatorialis,27.0,15.0,54.0,0.3333,0.6429,0.439
Monasa-morphoeus,21.0,3.0,0.0,1.0,0.875,0.9333
Monasa-nigrifrons,114.0,9.0,0.0,1.0,0.9268,0.962
Myadestes-ralloides,48.0,48.0,42.0,0.5333,0.5,0.5161
Mycteria-americana,39.0,186.0,6.0,0.8667,0.1733,0.2889
Myiarchus-cephalotes,45.0,6.0,12.0,0.7895,0.8824,0.8333
Myiarchus-ferox,120.0,69.0,6.0,0.9524,0.6349,0.7619
Myiarchus-swainsoni,63.0,21.0,51.0,0.5526,0.75,0.6364
Myiarchus-tyrannulus,93.0,0.0,24.0,0.7949,1.0,0.8857
Myiobius-atricaudus,57.0,0.0,0.0,1.0,1.0,1.0
Myiobius-barbatus,18.0,21.0,3.0,0.8571,0.4615,0.6
Myiobius-villosus,36.0,12.0,48.0,0.4286,0.75,0.5455
Myioborus-melanocephalus,81.0,0.0,30.0,0.7297,1.0,0.8437
Myioborus-miniatus,60.0,3.0,30.0,0.6667,0.9524,0.7843
Myiodynastes-luteiventris,33.0,0.0,3.0,0.9167,1.0,0.9565
Myiodynastes-maculatus,129.0,0.0,0.0,1.0,1.0,1.0
Myiopagis-caniceps,111.0,21.0,6.0,0.9487,0.8409,0.8916
Myiopagis-gaimardii,63.0,18.0,78.0,0.4468,0.7778,0.5676
Myiopagis-viridicata,45.0,9.0,45.0,0.5,0.8333,0.625
Myiornis-ecaudatus,15.0,42.0,0.0,1.0,0.2632,0.4167
Myiothlypis-bivittata,81.0,0.0,15.0,0.8438,1.0,0.9153
Myiothlypis-coronata,90.0,0.0,0.0,1.0,1.0,1.0
Myiothlypis-fulvicauda,99.0,0.0,9.0,0.9167,1.0,0.9565
Myiothlypis-luteoviridis,84.0,0.0,6.0,0.9333,1.0,0.9655
Myiotriccus-ornatus,96.0,111.0,6.0,0.9412,0.4638,0.6214
Myiozetetes-cayanensis,33.0,66.0,0.0,1.0,0.3333,0.5
Myiozetetes-granadensis,123.0,9.0,27.0,0.82,0.9318,0.8723
Myiozetetes-similis,72.0,12.0,6.0,0.9231,0.8571,0.8889
Myrmelastes-brunneiceps,42.0,0.0,9.0,0.8235,1.0,0.9032
Myrmelastes-hyperythrus,27.0,24.0,18.0,0.6,0.5294,0.5625
Myrmoborus-leucophrys,51.0,6.0,12.0,0.8095,0.8947,0.85
Myrmoborus-lophotes,39.0,39.0,3.0,0.9286,0.5,0.65
Myrmophylax-atrothorax,39.0,3.0,9.0,0.8125,0.9286,0.8667
Myrmothera-campanisona,0.0,24.0,6.0,0.0,0.0,
Myrmotherula-brachyura,96.0,3.0,54.0,0.64,0.9697,0.7711
Myrmotherula-iheringi,234.0,9.0,36.0,0.8667,0.963,0.9123
Myrmotherula-longicauda,18.0,0.0,21.0,0.4615,1.0,0.6316
Myrmotherula-longipennis,66.0,0.0,0.0,1.0,1.0,1.0
Myrmotherula-menetriesii,45.0,30.0,6.0,0.8824,0.6,0.7143
Myrmotherula-multostriata,84.0,6.0,18.0,0.8235,0.9333,0.875
Myrmotherula-schisticolor,45.0,84.0,12.0,0.7895,0.3488,0.4839
